attraction,category
Myeongdong_Shopping_Street-Seoul,1
Myeong_dong_Cathedral-Seoul,1
Chuncheon_Myeongdong_Street-Chuncheon_Gangwon_do,1
Gwangandaegyo_Bridge-Busan,6
Nurimaru_APAC_House-Busan,6
Haeundae_Beach-Busan,6
Haeundae_Dalmaji_gil_Road-Busan,6
Jamsil_Baseball_Stadium-Seoul,8
Lotte_Cinema_Lotte_World-Seoul,8
Jamsil_Sports_Complex-Seoul,8
Seokchon_Lake-Seoul,8
Lotte_World_Tower_Mall-Seoul,8
Nami_Island-Chuncheon_Gangwon_do,10
Gapyeong_Rail_Park-Gapyeong_gun_Gyeonggi_do,28
Gapyeong_City_Tour_Bus-Gapyeong_gun_Gyeonggi_do,28
The_Garden_of_Morning_Calm-Gapyeong_gun_Gyeonggi_do,28
Gangnam_Underground_Shopping_area-Seoul,7
Seolleung_Jeongneung_Royal_Tomb-Seoul,
Dongdaemun_Market-Seoul,2
Migliore_Dongdaemun_Shop-Seoul,2
Dongdaemun_Design_Plaza_DDP-Seoul,2
Dongdaemun_Shopping_Complex-Seoul,2
Dongdaemun_Gate_Heunginjimun-Seoul,2
63_City-Seoul,20
Yeouido_Hangang_Park-Seoul,13
Yeouido_Park-Seoul,13
Seoul_International_Fireworks_Festival-Seoul,
Chuncheon_Myeongdong_Dakgalbi_Street-Chuncheon_Gangwon_do,10
Chuncheon_Mullegil-Chuncheon_Gangwon_do,10
Woongjin_Playdoci-Bucheon_Gyeonggi_do,
Dongmun_Market-Jeju_Jeju_Island,9
Jeju_Folklore_Natural_Museum-Jeju_Jeju_Island,9
Jeju_Stone_Park-Jeju_Jeju_Island,9
Seongsan_Ilchulbong-Seogwipo_Jeju_Island,9
Seongeup_Folk_Village-Jeju_Jeju_Island,9
Sinchon-Seoul,4
Sangdangsanseong_Fortress-Cheongju_Chungcheongbuk_do,
Cheongju_National_Museum-Cheongju_Chungcheongbuk_do,
Cheongnamdae-Cheongju_Chungcheongbuk_do,1
Cheongju_Early_Printing_Museum-Cheongju_Chungcheongbuk_do,
Itaewon-Seoul,5
Itaewon_Land-Seoul,5
Itaewon_Antique_Furniture_Street-Seoul,5
One_Mount_Water_Park-Goyang_Gyeonggi_do,
Starfield_Goyang-Goyang_Gyeonggi_do,
International_Horticulture_Goyang_Korea-Goyang_Gyeonggi_do,
Daegwanryeong_Samyang_Ranch-Pyeongchang_gun_Gangwon_do,21
Daegwanryeong_Yangtte_Ranch-Pyeongchang_gun_Gangwon_do,21
Incheon_Airport_Transit_Tour-Incheon,36
AREX_Airport_Railroad_Express-Incheon,36
The_Independence_Hall_of_Korea-Cheonan_Chungcheongnam_do,
T_Light_Park-Ansan_Gyeonggi_do,
Sihwa_Seawall-Ansan_Gyeonggi_do,
Tando_Port-Ansan_Gyeonggi_do,
Ansan_Reed_Wetland-Ansan_Gyeonggi_do,
Jincheon_Nongdari_Bridge-Jincheon_gun_Chungcheongbuk_do,
Jincheon_Bell_Museum-Jincheon_gun_Chungcheongbuk_do,
Botapsa_Temple-Jincheon_gun_Chungcheongbuk_do,
Hwaseong_Fortress-Suwon_Gyeonggi_do,33
Hwaseong_Haenggung_Palace-Suwon_Gyeonggi_do,33
Paldalmun_Gate-Suwon_Gyeonggi_do,33
Hwahongmun_Gate-Suwon_Gyeonggi_do,33
Janganmun_Gate-Suwon_Gyeonggi_do,33
Hangang_Park-Seoul,13
Eland_Cruise-Seoul,13
Wolmido-Incheon,30
Wolmi_Park-Incheon,30
Wolmi_Theme_Park-Incheon,30
Wolmido_Cruise-Incheon,30
Jogyesa_Temple-Seoul,3
Jongmyo_Shrine-Seoul,3
Jongno_Jewelry_Shopping_Street-Seoul,3
Cheonggyecheon_Stream-Seoul,3
Jonglo3ga_Pojangmacha_Geoli-Seoul,3
Guri_Tower-Guri_Gyeonggi_do,
Donggureung-Guri_Gyeonggi_do,
Songdo_Central_Park-Incheon,32
Songdo_Beach-Busan,32
Songdo_Convensia-Incheon,32
Songdo_Skywalk-Busan,32
Hyundai_Premium_Outlet_Songdo-Incheon,32
Lotte_Cinema_Gasan_Digital-Seoul,
Mario_outlet-Seoul,
Digital_Pavilion-Seoul,
Statue_of_Sejong_the_Great-Seoul,
Gwanghwamun_Square-Seoul,17
Sejong_Center-Seoul,17
King_Sejong_Memorial_Hall-Seoul,17
Garosu_gil-Seoul,18
